pid,Name,Pos,Team,Opp,Score,WL,Season,Playoffs,Min,ChK,ChD,ChA,ChKDA,ChSC,TwrD,TwrA,TwrSC,InhibD,InhibA,CS,CSOpp,CS20,CSOpp20,Jgl,Rvr,DrK,DrA,BrnK,BrnA,G(k)
12591,Dwight 'tysonius' Delong,TOP,PND,RBL,1-0,W,2048,false,31.65863055068496,2,1,15,,,2,4,0,0,1,240,166,125,121,11,1,0,1,0,0,13.158824193058193
12531,Taruike 'tanman25' Yuyang,JGL,PND,RBL,1-0,W,2048,false,31.65863055068496,3,0,10,,,0,5,0,0,1,170,113,46,52,103,15,1,1,1,1,13.076979534863693
14725,Taehwan 'MoNo2122' Kim,MID,PND,RBL,1-0,W,2048,false,31.65863055068496,10,0,9,,,3,6,0,1,1,320,208,180,125,8,6,0,1,0,1,16.76981835856528
14659,Caleb 'Exiri' Estacio,ADC,PND,RBL,1-0,W,2048,false,31.65863055068496,5,0,9,,,2,5,0,0,1,348,259,202,175,10,3,2,2,0,1,15.696824372361657
13800,Ji 'Masstube' Zhao,SUP,PND,RBL,1-0,W,2048,false,31.65863055068496,0,1,16,,,0,6,0,0,1,145,45,35,36,2,0,0,2,0,1,10.315724867148244
13806,Niels 'aragorn1' Kok,SUP,PND,RBL,1-0,W,2048,false,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12743,Yao 'Chilante' Xiang,TOP,RBL,PND,0-1,L,2048,false,31.65863055068496,1,4,0,,,1,3,0,0,0,166,240,121,125,3,1,0,0,0,0,8.954551138863044
13777,Taruike 'CapoJack' Muhao,JGL,RBL,PND,0-1,L,2048,false,31.65863055068496,0,2,1,,,0,0,0,0,0,113,170,52,46,60,7,0,0,0,0,8.708183712954348
14576,Rokhyun 'drakemfk' Kim,ADC,RBL,PND,0-1,L,2048,false,31.65863055068496,0,5,0,,,1,0,0,0,0,208,320,125,180,6,0,0,0,0,0,9.772999999999996
13883,Yao 'lamfwemd' Delong,SUP,RBL,PND,0-1,L,2048,false,31.65863055068496,0,2,0,,,1,1,0,0,0,259,348,175,202,4,0,0,0,0,0,10.858999999999973
15414,Ziming 'Oskulock' Hu,ADC,RBL,PND,0-1,L,2048,false,31.65863055068496,1,7,0,,,0,2,0,0,0,45,145,36,35,0,0,0,0,0,0,6.274630361852339
14440,Tom 'freedomf' Jianiyou,TOP,PRD,EEC,0-1,L,2048,false,36.8311538261926,4,3,3,,,2,3,0,0,0,250,250,144,117,4,1,0,0,0,0,12.560414547065765
11996,Kwangmin 'xFlipper' Ha,JGL,PRD,EEC,0-1,L,2048,false,36.8311538261926,3,5,1,,,0,4,0,0,0,148,237,50,86,75,7,0,0,0,0,11.41938153249048
